,Team_host,Result,Teams_host,Team_guest,host,guest
0,ChelseavsMan Utd,1 - 0,Chelsea,Man Utd,1 , 0
1,EvertonvsWatford,3 - 2,Everton,Watford,3 , 2
2,Man CityvsArsenal,3 - 1,Man City,Arsenal,3 , 1
3,SpursvsC. Palace,1 - 0,Spurs,C. Palace,1 , 0
4,West HamvsLiverpool,1 - 4,West Ham,Liverpool,1 , 4
5,Hudd TownvsWBA,1 - 0,Hudd Town,WBA,1 , 0
6,NewcastlevsB'mouth,0 - 1,Newcastle,B'mouth,0 , 1
7,S'hamptonvsBurnley,0 - 1,S'hampton,Burnley,0 , 1
8,SwanseavsBrighton,0 - 1,Swansea,Brighton,0 , 1
9,StokevsLeicester,2 - 2,Stoke,Leicester,2 , 2
10,BurnleyvsNewcastle,1 - 0,Burnley,Newcastle,1 , 0
11,LeicestervsEverton,2 - 0,Leicester,Everton,2 , 0
12,BrightonvsS'hampton,1 - 1,Brighton,S'hampton,1 , 1
13,B'mouthvsChelsea,0 - 1,B'mouth,Chelsea,0 , 1
14,ArsenalvsSwansea,2 - 1,Arsenal,Swansea,2 , 1
15,C. PalacevsWest Ham,2 - 2,C. Palace,West Ham,2 , 2
16,LiverpoolvsHudd Town,3 - 0,Liverpool,Hudd Town,3 , 0
17,WatfordvsStoke,0 - 1,Watford,Stoke,0 , 1
18,WBAvsMan City,2 - 3,WBA,Man City,2 , 3
19,Man UtdvsSpurs,1 - 0,Man Utd,Spurs,1 , 0
20,SpursvsLiverpool,4 - 1,Spurs,Liverpool,4 , 1
21,EvertonvsArsenal,2 - 5,Everton,Arsenal,2 , 5
22,S'hamptonvsWBA,1 - 0,S'hampton,WBA,1 , 0
23,Hudd TownvsMan Utd,2 - 1,Hudd Town,Man Utd,2 , 1
24,Man CityvsBurnley,3 - 0,Man City,Burnley,3 , 0
25,NewcastlevsC. Palace,1 - 0,Newcastle,C. Palace,1 , 0
26,StokevsB'mouth,1 - 2,Stoke,B'mouth,1 , 2
27,SwanseavsLeicester,1 - 2,Swansea,Leicester,1 , 2
28,ChelseavsWatford,4 - 2,Chelsea,Watford,4 , 2
29,West HamvsBrighton,0 - 3,West Ham,Brighton,0 , 3
30,LeicestervsWBA,1 - 1,Leicester,WBA,1 , 1
31,S'hamptonvsNewcastle,2 - 2,S'hampton,Newcastle,2 , 2
32,BrightonvsEverton,1 - 1,Brighton,Everton,1 , 1
33,WatfordvsArsenal,2 - 1,Watford,Arsenal,2 , 1
34,BurnleyvsWest Ham,1 - 1,Burnley,West Ham,1 , 1
35,C. PalacevsChelsea,2 - 1,C. Palace,Chelsea,2 , 1
36,Man CityvsStoke,7 - 2,Man City,Stoke,7 , 2
37,SwanseavsHudd Town,2 - 0,Swansea,Hudd Town,2 , 0
38,SpursvsB'mouth,1 - 0,Spurs,B'mouth,1 , 0
