Rating,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys
89,2,4,90,86,22,19,16,48,87,84,24,93,73,82,89,84,77,68,68,56,70,84,52,54,70,75,76,84,79,67,77
88,3,4,86,89,30,35,39,80,87,86,42,82,82,80,80,73,88,84,85,72,87,90,85,70,84,85,81,78,78,77,83
88,3,1,22,12,11,12,13,17,86,13,23,53,70,19,35,33,42,50,32,65,34,49,51,19,21,12,11,13,19,23,17
86,5,4,87,86,58,52,64,64,85,82,64,85,88,85,86,84,75,65,72,59,91,85,70,58,78,77,82,86,78,80,72
85,3,2,67,62,83,86,87,90,82,31,86,56,80,54,76,69,78,80,77,76,62,70,86,84,54,32,47,22,49,51,35
84,3,2,70,53,82,85,83,79,81,50,85,55,71,51,77,69,67,73,74,81,69,66,85,81,66,58,52,55,47,54,51
83,3,3,84,81,62,67,72,74,82,83,72,80,80,75,85,80,69,69,90,69,75,77,65,58,81,73,75,70,70,75,79
83,3,2,82,72,26,20,37,76,83,84,41,75,78,63,77,56,60,58,79,88,52,59,82,88,84,84,76,70,65,81,82
82,4,3,80,70,71,68,75,90,83,77,76,86,73,68,85,89,48,54,79,76,62,55,40,62,88,49,85,68,70,59,50
82,3,2,65,39,86,84,87,69,83,43,88,58,87,38,67,58,26,28,61,87,28,29,32,86,71,36,25,39,45,42,30
81,3,4,82,81,24,26,24,69,81,81,38,76,76,74,77,70,78,78,74,73,75,74,65,68,83,85,82,83,78,79,79
81,3,3,79,81,33,36,39,65,79,81,35,73,78,77,75,65,92,93,75,62,79,83,66,58,76,82,69,76,74,74,72
80,3,3,77,76,75,80,76,72,77,67,76,63,67,74,74,59,96,94,84,61,77,84,65,60,52,52,43,63,50,62,41
80,3,3,78,72,78,80,80,92,77,64,85,70,74,60,78,72,69,70,83,76,85,76,80,60,71,41,57,55,41,52,43
80,3,3,78,81,23,33,38,77,78,81,22,72,76,69,77,64,87,85,84,78,64,85,80,75,77,77,70,61,62,70,76
80,3,2,77,73,79,81,82,74,79,61,82,66,79,78,77,61,75,75,84,65,72,74,75,67,71,39,61,74,59,61,56
79,2,2,65,60,80,80,83,78,78,51,79,61,61,67,69,69,68,72,74,77,71,69,75,77,61,51,57,55,46,51,48
79,4,4,82,85,39,42,46,66,75,74,43,72,68,73,77,73,89,89,75,70,88,84,65,39,77,68,75,67,53,69,59
79,2,3,75,74,78,80,79,72,81,65,79,69,77,76,74,65,79,83,77,69,74,73,70,68,72,47,65,64,52,63,47
79,3,1,32,12,10,12,13,20,70,16,25,40,29,11,36,32,34,34,29,38,50,44,75,15,35,10,12,10,13,26,12
79,3,3,74,72,78,78,79,80,72,64,75,64,76,79,75,73,75,72,83,71,74,76,81,74,74,59,68,74,61,66,62
77,3,3,76,68,70,72,75,74,72,63,77,70,73,68,79,74,61,64,92,72,62,67,70,57,71,57,67,69,61,62,39
74,3,3,83,83,29,23,26,46,74,69,24,75,72,52,80,57,78,77,70,73,76,77,50,42,67,63,54,50,40,56,48
73,2,2,68,68,74,74,75,71,70,67,69,62,62,73,69,64,68,78,78,74,68,62,64,60,72,41,41,60,52,49,60
69,3,1,26,13,12,20,20,37,57,12,13,49,37,22,27,46,59,57,14,70,49,49,60,26,28,16,26,22,20,42,23
69,3,3,63,62,17,19,21,46,65,71,36,52,66,39,63,51,69,69,65,80,32,53,75,73,75,67,50,45,41,61,59
68,3,2,68,65,66,68,70,60,66,40,63,55,71,52,62,44,64,66,76,75,71,60,73,64,48,30,27,33,30,38,27
64,4,3,63,65,57,58,59,58,62,56,61,60,55,60,68,66,79,75,72,68,70,74,58,38,58,51,54,44,36,54,39
63,3,2,54,59,22,16,17,38,63,62,19,54,50,42,57,35,77,80,50,73,65,50,64,64,54,65,59,46,35,75,43
63,3,3,59,72,41,42,41,45,62,62,47,61,43,41,68,62,82,75,54,57,59,79,64,54,63,41,46,46,43,53,46
60,2,3,61,69,16,16,11,27,55,60,23,50,45,35,55,43,83,82,61,52,73,65,56,38,50,57,46,43,30,60,43
59,3,2,59,69,32,44,42,47,56,45,39,63,53,49,63,59,73,75,61,71,65,50,54,54,61,61,54,55,43,62,54
53,2,3,47,43,50,51,55,54,51,43,48,49,55,39,53,48,60,64,57,58,72,61,59,49,53,43,39,42,41,48,38
89,3,1,23,13,11,16,18,23,81,13,15,44,52,14,32,31,46,52,38,70,45,61,68,13,36,14,17,19,11,27,12
89,4,4,91,93,25,22,27,54,85,85,41,86,86,80,84,80,93,87,77,65,90,92,59,57,79,81,82,82,79,86,79
86,4,3,83,79,28,34,39,93,85,88,40,74,84,65,67,52,76,78,85,91,52,58,64,82,84,89,72,62,59,76,82
86,3,3,86,80,60,62,63,45,81,78,50,91,92,85,91,90,65,62,80,64,77,65,68,74,77,76,75,77,81,80,81
85,4,4,86,87,43,51,62,44,81,78,55,83,74,75,82,77,92,86,86,61,82,87,46,29,71,75,80,80,85,60,59
84,3,3,79,72,76,77,83,83,82,68,86,77,85,68,83,80,66,68,90,90,53,57,71,77,78,64,75,68,67,69,74
84,3,3,79,66,80,84,85,84,79,54,82,69,70,68,79,78,72,73,77,77,56,74,82,82,77,56,71,70,76,75,67
