Teams_host,,Teams_guest,host,guest
Arsenal,vs,West Ham,1,5
S'hampton,vs,Everton,0,0
Spurs,vs,Man Utd,1,1
Chelsea,vs,Arsenal,1,2
Swansea,vs,Stoke,1,3
Chelsea,vs,S'hampton,2,2
Arsenal,vs,Man City,0,2
Man Utd,vs,Liverpool,1,2
Sunderland,vs,West Ham,3,0
Everton,vs,Swansea,0,0
Stoke,vs,Chelsea,0,4
Liverpool,vs,Sunderland,3,0
S'hampton,vs,Arsenal,1,1
Man City,vs,Stoke,3,0
S'hampton,vs,Stoke,1,1
Spurs,vs,Sunderland,1,0
WBA,vs,Man Utd,5,5
Chelsea,vs,Everton,1,2
Man Utd,vs,Swansea,1,2
Sunderland,vs,S'hampton,1,1
Everton,vs,West Ham,2,0
Stoke,vs,Spurs,2,1
Chelsea,vs,Spurs,2,2
Man City,vs,WBA,1,0
Sunderland,vs,Stoke,1,1
Man Utd,vs,Chelsea,0,1
Liverpool,vs,Everton,0,0
Spurs,vs,S'hampton,1,0
Swansea,vs,Man City,0,0
Arsenal,vs,Man Utd,1,4
Chelsea,vs,Swansea,2,0
S'hampton,vs,WBA,0,4
Man City,vs,West Ham,1,2
Liverpool,vs,Chelsea,2,2
Spurs,vs,Man City,1,3
Swansea,vs,S'hampton,0,0
Sunderland,vs,Everton,1,0
West Ham,vs,Man Utd,2,2
Arsenal,vs,Everton,0,0
Stoke,vs,Man Utd,0,2
S'hampton,vs,West Ham,1,1
Man Utd,vs,Man City,2,1
Chelsea,vs,Sunderland,1,2
Spurs,vs,Everton,2,2
Liverpool,vs,West Ham,0,0
WBA,vs,Arsenal,2,1
Everton,vs,Stoke,1,0
Swansea,vs,Spurs,2,1
West Ham,vs,WBA,1,3
S'hampton,vs,Chelsea,1,2
Sunderland,vs,Man Utd,0,1
Chelsea,vs,West Ham,2,0
S'hampton,vs,Liverpool,1,3
Stoke,vs,WBA,0,0
Swansea,vs,Arsenal,0,2
Everton,vs,Man City,2,0
Liverpool,vs,Spurs,2,3
WBA,vs,Swansea,1,2
Spurs,vs,Arsenal,1,2
Stoke,vs,West Ham,0,1
Chelsea,vs,WBA,1,0
West Ham,vs,Spurs,3,2
Man City,vs,Chelsea,2,0
WBA,vs,Sunderland,1,2
Liverpool,vs,Swansea,5,0
Liverpool,vs,WBA,0,2
Man Utd,vs,Everton,2,0
S'hampton,vs,Man City,1,3
Sunderland,vs,Arsenal,0,1
Man City,vs,Liverpool,2,2
WBA,vs,Spurs,0,1
West Ham,vs,Swansea,1,0
Arsenal,vs,Stoke,1,0
Man Utd,vs,S'hampton,1,2
Arsenal,vs,Liverpool,2,2
Everton,vs,WBA,1,2
Sunderland,vs,Swansea,0,
Everton,vs,Chelsea,2,1
Stoke,vs,S'hampton,3,3
Man Utd,vs,WBA,2,0
Sunderland,vs,Spurs,2,1
Stoke,vs,Liverpool,1,3
Sunderland,vs,Man City,1,0
Swansea,vs,Man Utd,1,1
Spurs,vs,Stoke,0,0
West Ham,vs,Everton,2,1
S'hampton,vs,Sunderland,0,1
WBA,vs,West Ham,0,0
Spurs,vs,Swansea,1,0
Stoke,vs,Everton,1,1
Man Utd,vs,Sunderland,1,3
West Ham,vs,Liverpool,3,2
Everton,vs,Spurs,1,2
Man City,vs,Man Utd,3,2
Sunderland,vs,Chelsea,3,1
Arsenal,vs,WBA,2,0
Arsenal,vs,Swansea,0,2
Man City,vs,Everton,1,1
Liverpool,vs,S'hampton,1,0
WBA,vs,Stoke,0,1
West Ham,vs,Chelsea,1,3
Man Utd,vs,West Ham,1,0
Swansea,vs,WBA,1,3
Everton,vs,Arsenal,1,1
Spurs,vs,Liverpool,1,2
Chelsea,vs,Man City,0,0
Spurs,vs,West Ham,1,3
Swansea,vs,Liverpool,0,0
Sunderland,vs,WBA,4,2
West Ham,vs,Stoke,1,1
WBA,vs,Chelsea,1,2
Arsenal,vs,Spurs,2,5
Chelsea,vs,Liverpool,1,1
Man City,vs,Spurs,1,2
S'hampton,vs,Swansea,1,1
Everton,vs,Sunderland,1,2
WBA,vs,S'hampton,2,0
West Ham,vs,Man City,0,0
Swansea,vs,Chelsea,1,1
Man Utd,vs,Arsenal,1,2
Chelsea,vs,Man Utd,3,2
S'hampton,vs,Spurs,2,1
Everton,vs,Liverpool,2,2
Man City,vs,Swansea,1,0
Stoke,vs,Sunderland,0,0
WBA,vs,Man City,2,1
West Ham,vs,S'hampton,1,4
Man Utd,vs,Stoke,2,4
Spurs,vs,Chelsea,4,2
Liverpool,vs,Stoke,0,0
West Ham,vs,Arsenal,3,1
Man City,vs,Sunderland,3,0
Man Utd,vs,Spurs,3,2
Everton,vs,S'hampton,1,3
Stoke,vs,Swansea,2,0
Arsenal,vs,Chelsea,2,1
Man City,vs,Arsenal,1,1
Liverpool,vs,Man Utd,2,1
West Ham,vs,Sunderland,1,1
Chelsea,vs,Stoke,1,0
Swansea,vs,Everton,2,2
Sunderland,vs,Liverpool,1,1
Stoke,vs,Man City,1,1
Arsenal,vs,S'hampton,1,6
S'hampton,vs,Man Utd,3,2
Liverpool,vs,Arsenal,0,2
Swansea,vs,Sunderland,2,2
WBA,vs,Everton,2,0
Liverpool,vs,Man City,2,2
Stoke,vs,Arsenal,0,0
Spurs,vs,WBA,1,1
Swansea,vs,West Ham,3,0
Everton,vs,Man Utd,1,0
Man City,vs,S'hampton,2,3
WBA,vs,Liverpool,3,0
Arsenal,vs,Sunderland,0,0
S'hampton,vs,Man Utd,1,1
Man City,vs,West Ham,2,0
Sunderland,vs,Swansea,1,3
Hull City,vs,Everton,0,2
WBA,vs,Stoke,1,2
Sunderland,vs,WBA,2,0
Man Utd,vs,Hull City,3,1
C. Palace,vs,Liverpool,3,3
Arsenal,vs,WBA,1,0
Everton,vs,Man City,2,3
Man Utd,vs,Sunderland,0,1
Swansea,vs,S'hampton,0,1
West Ham,vs,Spurs,2,0
C. Palace,vs,Man City,0,2
Liverpool,vs,Chelsea,0,2
WBA,vs,West Ham,1,0
Stoke,vs,Spurs,0,1
S'hampton,vs,Everton,2,0
Man City,vs,WBA,3,1
